title,link,address,deadline,salary
Teacher: 1st Grade - Martin Luther King Jr Elementary (2025-26),https://www.edjoin.org/Home/JobPosting/2075939,"Oakland Unified School District - Oakland, Alameda County, CA",Until Filled,"$62,695.25 - $109,878.22  Annually"
Teacher: Early Childhood Education - International Early Childhood Education (2025-26),https://www.edjoin.org/Home/JobPosting/2075602,"Oakland Unified School District - Oakland, Alameda County, CA",Until Filled,"32,621.70 - 88,554.4  Annually"
World Language Teacher - Spanish (2025-26 School Year),https://www.edjoin.org/Home/JobPosting/2015279,"Alliance College-Ready Public Schools - Los Angeles, Los Angeles County, CA",Until Filled,"$70,000 - $130,000  Annually"
Physical Education Teacher (2024-25 School Year),https://www.edjoin.org/Home/JobPosting/2035959,"Alliance College-Ready Public Schools - Los Angeles, Los Angeles County, CA",Until Filled,"$70,000 - $130,000  Annually"
Science Teacher - Biology and Anatomy,https://www.edjoin.org/Home/JobPosting/2078305,"Ontario Christian School - Ontario, San Bernardino County, CA",4/26/2026 11:55 am,"50,000 - 80,000  Annually"
Middle School Math Teacher (Grades 7 & 8),https://www.edjoin.org/Home/JobPosting/2076889,"The School of Arts and Enterprise - Pomona, Los Angeles County, CA",5/3/2025 11:55 am,"56,000 - 110,728  Annually"
Middle School Music Teacher,https://www.edjoin.org/Home/JobPosting/2020113,"AIMS K12 College Prep Charter District - Oakland, Alameda County, CA",Until Filled,61882.00 - 68189.00  Annually
Math Teacher (25/26 School Year),https://www.edjoin.org/Home/JobPosting/2049866,"Environmental Charter Schools - , Los Angeles County, CA",Until Filled,"$64,264 - $105,707  Annually"
Middle School Biology Teacher (Green Ambassador Program),https://www.edjoin.org/Home/JobPosting/1956376,"Environmental Charter Schools - , Los Angeles County, CA",Until Filled,Pay dependent on experience
"Moderate/Severe Teacher, Pine Grove STEM Magnet School, 1 FTE, 2025-2026",https://www.edjoin.org/Home/JobPosting/2077674,"Amador County Office Of Education - Jackson, Amador County, CA",Until Filled,Pay dependent on experience
PreSchool Teacher - American Lakes School,https://www.edjoin.org/Home/JobPosting/2077764,"Natomas Unified School District - Sacramento, Sacramento County, CA",Until Filled,"$56,265 - $121,338  Annually"
High School Math/Chemistry Teacher - Lincoln High School,https://www.edjoin.org/Home/JobPosting/2077784,"Western Placer Unified School District - Lincoln, Placer County, CA",5/10/2025 04:00 am,Pay dependent on experience
US History and Government Teacher 25-26 SY,https://www.edjoin.org/Home/JobPosting/2077804,"Amethod Public Schools - Richmond, Alameda County, CA",8/1/2025 11:55 am,"$65,000 - $94,500  Annually"
Chemistry Teacher - Langston Hughes Academy,https://www.edjoin.org/Home/JobPosting/2024638,"Aspire Public Schools - San Joaquin County - Stockton, San Joaquin County, CA",Until Filled,"$66,560 - $114,206  Annually"
Education Specialist / Special Education Teacher (Mild/Moderate; N. County San Diego),https://www.edjoin.org/Home/JobPosting/2054216,"Element Education: Community Montessori & Dimensions Collaborative Charter Schools (San Diego County) - Escondido, San Diego County, CA",Until Filled,"$59,000 - $102,812  Annually"
Substitute Teacher $220/day | TK - 12 Grades | (applicant pool 25-26 SY) Fontana -San Bernardino and Moreno Valley,https://www.edjoin.org/Home/JobPosting/1953801,"REAL Journey Academies (K-12 Public Charter Schools) - Ontario, San Bernardino County, CA",Continuous,Pay dependent on experience
"Teacher / Educational Facilitator (Full-Time, Primary - TK/K, Montessori, Santee)",https://www.edjoin.org/Home/JobPosting/2077400,"Element Education: Community Montessori & Dimensions Collaborative Charter Schools (San Diego County) - Escondido, San Diego County, CA",Until Filled,"$59,000 - $102,812  Annually"
.20 FTE 9-12 Art Teacher ~ for the 2025-2026 School Year ~ IN/OUT DISTRICT APPLICANTS,https://www.edjoin.org/Home/JobPosting/2077812,"Paradise Unified - Paradise, Butte County, CA",5/10/2025 02:00 am,Pay dependent on experience
